,Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials,City Temperature,Home Team Average Temperature,Away Team Average Temperature,Winning Team Average Temperature
742,2002.0,01 Jun 2002 - 18:00 ,Group A,Munsu Football Stadium,Ulsan ,Uruguay,1.0,2.0,Denmark,A,Denmark, ,43950003.0,URU,DEN,25,17.0,-16.0,-16.0
743,1986.0,04 Jun 1986 - 16:00 ,Group E,Neza,Nezahualcoyotl ,Scotland,0.0,1.0,Denmark,A,Denmark, ,517.0,SCO,DEN,25,8.45,-16.0,-16.0
744,2010.0,19 Jun 2010 - 20:30 ,Group E,Loftus Versfeld Stadium,Tshwane/Pretoria ,Cameroon,1.0,2.0,Denmark,A,Denmark, ,300061475.0,CMR,DEN,26,25.0,-16.0,-16.0
745,1998.0,28 Jun 1998 - 21:00 ,Round of 16,Stade de France,Saint-Denis ,Nigeria,1.0,4.0,Denmark,A,Denmark, ,8775.0,NGA,DEN,22,27.0,-16.0,-16.0
746,1998.0,12 Jun 1998 - 17:30 ,Group C,Stade Felix Bollaert,Lens ,Saudi Arabia,0.0,1.0,Denmark,A,Denmark, ,8729.0,KSA,DEN,22,26.0,-16.0,-16.0
747,1986.0,08 Jun 1986 - 16:00 ,Group E,Neza,Nezahualcoyotl ,Denmark,6.0,1.0,Uruguay,H,Denmark, ,522.0,DEN,URU,25,-16.0,17.0,-16.0
748,2002.0,11 Jun 2002 - 15:30 ,Group A,Incheon Football Stadium,Incheon ,Denmark,2.0,0.0,France,H,Denmark, ,43950033.0,DEN,FRA,27,-16.0,13.0,-16.0
749,1958.0,17 Jun 1958 - 19:00 ,Group 3,Rasunda Stadium,Solna ,Wales,2.0,1.0,Hungary,H,Wales, ,1408.0,WAL,HUN,21,8.45,11.0,8.45
750,1970.0,06 Jun 1970 - 16:00 ,Group 3,Jalisco,Guadalajara ,Romania,2.0,1.0,Czech Republic,H,Romania, ,1919.0,ROU,TCH,28,10.0,8.0,10.0
751,1998.0,22 Jun 1998 - 21:00 ,Group G,Stade Municipal,Toulouse ,Romania,2.0,1.0,England,H,Romania, ,8756.0,ROU,ENG,30,10.0,8.45,10.0
752,1998.0,15 Jun 1998 - 17:30 ,Group G,Stade de Gerland,Lyon ,Romania,1.0,0.0,Colombia,H,Romania, ,8739.0,ROU,COL,26,10.0,25.0,10.0
753,1994.0,26 Jun 1994 - 16:00 ,Group A,Rose Bowl,Los Angeles ,USA,0.0,1.0,Romania,A,Romania, ,3073.0,USA,ROU,33,8.55,10.0,10.0
754,1990.0,09 Jun 1990 - 17:00 ,Group B,Stadio San Nicola,Bari ,Russia,0.0,2.0,Romania,A,Romania, ,342.0,URS,ROU,29,-3.0,10.0,10.0
755,1994.0,18 Jun 1994 - 19:30 ,Group A,Rose Bowl,Los Angeles ,Colombia,1.0,3.0,Romania,A,Romania, ,3053.0,COL,ROU,33,25.0,10.0,10.0
756,1994.0,03 Jul 1994 - 13:30 ,Round of 16,Rose Bowl,Los Angeles ,Romania,3.0,2.0,Argentina,H,Romania, ,3088.0,ROU,ARG,33,10.0,15.0,10.0
757,1930.0,14 Jul 1930 - 14:50 ,Group 3,Pocitos,Montevideo ,Romania,3.0,1.0,Peru,H,Romania, ,1098.0,ROU,PER,11,10.0,20.0,10.0
758,1958.0,08 Jun 1958 - 19:00 ,Group 1,Orjans Vall,Halmstad ,Northern Ireland,1.0,0.0,Czech Republic,H,Northern Ireland, ,1421.0,NIR,TCH,20,9.3,8.0,9.3
759,1958.0,17 Jun 1958 - 19:00 ,Group 1,Malmo Stadion,Malm� ,Northern Ireland,2.0,1.0,Czech Republic,H,Northern Ireland,Northern Ireland win after extra time ,1422.0,NIR,TCH,21,9.3,8.0,9.3
