Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Results,Winning Team,Win conditions,MatchID,Home Team Initials,Away Team Initials
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Fort Carree,Antibes ,Sweden,8,0,Cuba,H,Sweden, ,1158,SWE,CUB
1938,12 Jun 1938 - 17:00 ,Quarter-finals,Stade Olympique,Colombes ,Italy,3,1,France,H,Italy, ,1164,ITA,FRA
1938,14 Jun 1938 - 18:00 ,Quarter-finals,Stade du Parc Lescure,Bordeaux ,Brazil,2,1,Czech Republic,H,Brazil, ,1153,BRA,TCH
1938,16 Jun 1938 - 18:00 ,Semi-finals,Parc des Princes,Paris ,Hungary,5,1,Sweden,H,Hungary, ,1176,HUN,SWE
1938,16 Jun 1938 - 18:00 ,Semi-finals,Stade V�lodrome,Marseilles ,Italy,2,1,Brazil,H,Italy, ,1149,ITA,BRA
1938,19 Jun 1938 - 17:00 ,Match for third place,Stade du Parc Lescure,Bordeaux ,Brazil,4,2,Sweden,H,Brazil, ,1151,BRA,SWE
1938,19 Jun 1938 - 17:00 ,Final,Stade Olympique,Colombes ,Italy,4,2,Hungary,H,Italy, ,1174,ITA,HUN
1950,24 Jun 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,4,0,Mexico,H,Brazil, ,1187,BRA,MEX
1950,25 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,England,2,0,Chile,H,England, ,1192,ENG,CHI
1950,25 Jun 1950 - 15:00 ,Group 2,Durival de Brito,Curitiba ,Spain,3,1,USA,H,Spain, ,1208,ESP,USA
1950,25 Jun 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Sweden,3,2,Italy,H,Sweden, ,1219,SWE,ITA
1950,25 Jun 1950 - 15:00 ,Group 1,Independencia,Belo Horizonte ,Yugoslavia,3,0,Switzerland,H,Yugoslavia, ,1230,YUG,SUI
1950,28 Jun 1950 - 15:00 ,Group 1,Pacaembu,Sao Paulo ,Brazil,2,2,Switzerland,D,Draw, ,1188,BRA,SUI
1950,28 Jun 1950 - 15:00 ,Group 1,Eucaliptos,Porto Alegre ,Yugoslavia,4,1,Mexico,H,Yugoslavia, ,1225,YUG,MEX
1950,29 Jun 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,2,0,Chile,H,Spain, ,1193,ESP,CHI
1950,29 Jun 1950 - 15:30 ,Group 3,Durival de Brito,Curitiba ,Sweden,2,2,Paraguay,D,Draw, ,1228,SWE,PAR
1950,29 Jun 1950 - 15:00 ,Group 2,Independencia,Belo Horizonte ,USA,1,0,England,H,USA, ,1202,USA,ENG
1950,01 Jul 1950 - 15:00 ,Group 1,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,2,0,Yugoslavia,H,Brazil, ,1191,BRA,YUG
1950,02 Jul 1950 - 15:00 ,Group 2,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Spain,1,0,England,H,Spain, ,1199,ESP,ENG
1950,02 Jul 1950 - 15:00 ,Group 3,Pacaembu,Sao Paulo ,Italy,2,0,Paraguay,H,Italy, ,1218,ITA,PAR
1950,02 Jul 1950 - 15:00 ,Group 4,Independencia,Belo Horizonte ,Uruguay,8,0,Bolivia,H,Uruguay, ,1185,URU,BOL
1950,02 Jul 1950 - 15:40 ,Group 1,Eucaliptos,Porto Alegre ,Switzerland,2,1,Mexico,H,Switzerland, ,1222,SUI,MEX
1950,02 Jul 1950 - 15:00 ,Group 2,Ilha do Retiro,Recife ,Chile,5,2,USA,H,Chile, ,1194,CHI,USA
1950,09 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,2,2,Spain,D,Draw, ,1207,URU,ESP
1950,09 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,7,1,Sweden,H,Brazil, ,1189,BRA,SWE
1950,13 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Brazil,6,1,Spain,H,Brazil, ,1186,BRA,ESP
1950,13 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Uruguay,3,2,Sweden,H,Uruguay, ,1231,URU,SWE
1950,16 Jul 1950 - 15:00 ,Group 6,Pacaembu,Sao Paulo ,Sweden,3,1,Spain,H,Sweden, ,1206,SWE,ESP
1950,16 Jul 1950 - 15:00 ,Group 6,Maracan� - Est�dio Jornalista M�rio Filho,Rio De Janeiro ,Uruguay,2,1,Brazil,H,Uruguay, ,1190,URU,BRA
1954,16 Jun 1954 - 18:00 ,Group 3,Wankdorf Stadium,Berne ,Uruguay,2,0,Czech Republic,H,Uruguay, ,1315,URU,TCH
1954,16 Jun 1954 - 18:00 ,Group 3,Hardturm,Zurich ,Austria,1,0,Scotland,H,Austria, ,1236,AUT,SCO
1954,16 Jun 1954 - 18:00 ,Group 1,Charmilles,Geneva ,Brazil,5,0,Mexico,H,Brazil, ,1249,BRA,MEX
1954,16 Jun 1954 - 18:00 ,Group 1,La Pontaise,Lausanne ,Yugoslavia,1,0,France,H,Yugoslavia, ,1276,YUG,FRA
1954,17 Jun 1954 - 18:00 ,Group 2,Wankdorf Stadium,Berne ,Germany,4,1,Turkey,H,Germany, ,1283,FRG,TUR
1954,17 Jun 1954 - 18:00 ,Group 2,Hardturm,Zurich ,Hungary,9,0,Korea Republic,H,Hungary, ,1294,HUN,KOR
1954,17 Jun 1954 - 18:10 ,Group 4,St. Jakob,Basel ,England,4,4,Belgium,D,Draw, ,1240,ENG,BEL
1954,17 Jun 1954 - 17:50 ,Group 4,La Pontaise,Lausanne ,Switzerland,2,1,Italy,H,Switzerland, ,1300,SUI,ITA
1954,19 Jun 1954 - 16:50 ,Group 3,St. Jakob,Basel ,Uruguay,7,0,Scotland,H,Uruguay, ,1313,URU,SCO
1954,19 Jun 1954 - 17:00 ,Group 3,Hardturm,Zurich ,Austria,5,0,Czech Republic,H,Austria, ,1238,AUT,TCH
1954,19 Jun 1954 - 17:10 ,Group 1,Charmilles,Geneva ,France,3,2,Mexico,H,France, ,1275,FRA,MEX
1954,19 Jun 1954 - 17:00 ,Group 1,La Pontaise,Lausanne ,Brazil,1,1,Yugoslavia,D,Draw, ,1252,BRA,YUG
1954,20 Jun 1954 - 16:50 ,Group 2,St. Jakob,Basel ,Hungary,8,3,Germany,H,Hungary, ,1277,HUN,FRG
1954,20 Jun 1954 - 17:00 ,Group 2,Charmilles,Geneva ,Turkey,7,0,Korea Republic,H,Turkey, ,1304,TUR,KOR
1954,20 Jun 1954 - 17:10 ,Group 4,Wankdorf Stadium,Berne ,England,2,0,Switzerland,H,England, ,1263,ENG,SUI
1954,20 Jun 1954 - 17:00 ,Group 4,Comunale di Cornaredo,Lugano ,Italy,4,1,Belgium,H,Italy, ,1243,ITA,BEL
